Young's Modulus (GPa),Poisson's ratio,Tensile Strength (MPa),Compressive strength (MPa),Density (g/cm3),Friction coefficient,Inclination angle ,X,Y,Fracture Growth
2.9,0.44,75,139,1.18,0.53,0,1.75298658,5.035553427,0
2.9,0.44,75,139,1.18,0.53,0,3.200038685,5.40246295,1
2.9,0.44,75,139,1.18,0.53,0,3.279343091,4.390617948,1
2.9,0.44,75,139,1.18,0.53,0,3.098812737,3.60457405,1
2.9,0.44,75,139,1.18,0.53,0,3.384115171,5.025375568,0
2.9,0.44,75,139,1.18,0.53,0,3.040002211,2.894426586,1
2.9,0.44,75,139,1.18,0.53,0,3.041936464,2.259991342,1
2.9,0.44,75,139,1.18,0.53,0,2.670743951,4.011135775,0
2.9,0.44,75,139,1.18,0.53,0,2.96415183,7.773351509,1
2.9,0.44,75,139,1.18,0.53,0,3.060818466,6.066694913,1
2.9,0.44,75,139,1.18,0.53,0,2.936381472,6.88202894,1
