Crack_id,Young's Modulus (GPa),Poisson's ratio,Tensile strength (MPa),Compressive Strength (MPa),Density (g/cm3),Friction coefficient ,Inclination angle,X,Y,Fracture Growth
1,2.9,0.44,75,139,1.18,0.53,0,1.738300952,5.033112583,1
1,2.9,0.44,75,139,1.18,0.53,0,1.854194991,5.033112583,1
1,2.9,0.44,75,139,1.18,0.53,0,1.970089031,5.033112583,1
1,2.9,0.44,75,139,1.18,0.53,0,2.052870488,5.033112583,1
1,2.9,0.44,75,139,1.18,0.53,0,2.168764528,5.033112583,1
1,2.9,0.44,75,139,1.18,0.53,0,2.268102276,5.033112583,1
1,2.9,0.44,75,139,1.18,0.53,0,2.367440025,5.033112583,1
1,2.9,0.44,75,139,1.18,0.53,0,2.466832595,5.016556291,1
1,2.9,0.44,75,139,1.18,0.53,0,2.566170343,5.016556291,1
1,2.9,0.44,75,139,1.18,0.53,0,2.665508092,5.016556291,1
1,2.9,0.44,75,139,1.18,0.53,0,2.781456954,5,1
1,2.9,0.44,75,139,1.18,0.53,0,2.880794702,5,1
1,2.9,0.44,75,139,1.18,0.53,0,2.98013245,5,1
1,2.9,0.44,75,139,1.18,0.53,0,3.09602649,5,1
1,2.9,0.44,75,139,1.18,0.53,0,3.195364238,5,1
1,2.9,0.44,75,139,1.18,0.53,0,3.311258278,5,1
1,2.9,0.44,75,139,1.18,0.53,0,3.410596026,5,1
1,2.9,0.44,75,139,1.18,0.53,0,3.509933775,5,1
1,2.9,0.44,75,139,1.18,0.53,0,3.459826323,5.132450331,1
1,2.9,0.44,75,139,1.18,0.53,0,3.409718872,5.264900662,1
1,2.9,0.44,75,139,1.18,0.53,0,3.376332178,5.347682119,1
1,2.9,0.44,75,139,1.18,0.53,0,3.309723258,5.463576159,1
1,2.9,0.44,75,139,1.18,0.53,0,3.259835095,5.529801325,1
1,2.9,0.44,75,139,1.18,0.53,0,3.242840226,5.662251656,1
1,2.9,0.44,75,139,1.18,0.53,0,3.209398711,5.761589404,1
1,2.9,0.44,75,139,1.18,0.53,0,3.175847551,5.894039735,1
1,2.9,0.44,75,139,1.18,0.53,0,3.142406035,5.993377483,1
1,2.9,0.44,75,139,1.18,0.53,0,3.108854875,6.125827815,1
1,2.9,0.44,75,139,1.18,0.53,0,3.075303715,6.258278146,1
1,2.9,0.44,75,139,1.18,0.53,0,3.041752555,6.390728477,1
1,2.9,0.44,75,139,1.18,0.53,0,3.024976975,6.456953642,1
